FQHC_ID,Population_Coverage
157,1964900
158,1964700
1,1963900
55,1933500
49,1927000
156,1889200
36,1852300
33,1812100
37,1812100
34,1812100
101,1797000
66,1769200
35,1767500
160,1751600
65,1749800
64,1749800
99,1749800
154,1748500
100,1734800
30,1721700
196,1714800
28,1703900
183,1695900
27,1684100
25,1683800
31,1682400
26,1669900
155,1247000
53,1245800
145,1141600
146,1131900
130,1118300
151,1109300
148,1109300
128,1104800
129,1102500
5,1101000
185,1098700
166,1092300
127,1089900
149,1081800
147,1075900
150,1064700
50,1042000
144,1039800
152,1002100
54,980700
48,633300
51,633300
52,588600
181,467600
78,458000
164,457700
163,457700
194,457700
165,457700
79,457700
81,457700
82,456000
9,397500
77,389400
11,345700
187,332400
67,328100
69,325500
192,325200
190,314700
12,312900
197,304900
44,301900
46,301900
43,293800
131,248500
76,248500
24,233600
14,231800
184,229000
162,211200
8,203800
73,202400
19,196900
20,196900
22,196900
21,196900
72,192100
23,191700
60,170100
57,170100
80,165700
122,161700
113,160200
123,160200
120,160200
125,159200
115,156900
116,156100
56,155900
59,155900
119,153800
153,152700
175,152600
189,152500
16,152400
15,152400
41,152000
38,152000
40,152000
186,152000
188,151400
45,151400
193,151300
132,150300
124,149700
121,149700
74,149500
63,146200
58,146200
61,146200
141,142800
140,142800
85,139600
167,139000
32,135800
133,134700
134,134700
39,132600
90,130900
84,130600
83,130600
3,128200
191,126400
18,118800
17,118800
7,105800
171,104400
93,104000
114,100300
10,100300
47,100000
13,99100
75,94900
62,94800
159,94800
4,94200
111,90100
174,89300
139,89100
142,89100
94,89100
137,89000
136,89000
135,89000
170,88000
126,88000
71,86800
68,86800
95,86700
169,83700
168,83700
182,83300
98,82900
96,81600
180,79400
176,75700
179,74600
42,74500
138,71900
173,71100
172,70300
87,70300
92,69900
178,68400
177,66700
143,65000
86,59800
2,59700
110,55900
105,55900
109,55900
104,55200
103,54900
108,54800
106,54800
195,46300
117,43900
118,43900
89,41600
70,41400
161,41400
29,34900
91,34400
88,34400
107,33900
6,31800
97,28500
112,28000
102,26000
