"ICD10","ICD10Descr"
"E10621","Type 1 diabetes mellitus with foot ulcer"
"E13621","Other specified diabetes mellitus with foot ulcer"
"E108","Type 1 diabetes mellitus with unspecified complications"
"E100",
"E128",
"E149",
"E1311","Oth diabetes mellitus with ketoacidosis with coma"
"E130","Other specified diabetes mellitus with hyperosmolarity"
"E138","Oth diabetes mellitus with unspecified complications"
"E13649","Oth diabetes mellitus with hypoglycemia without coma"
"E116","Type 2 diabetes mellitus with other specified complications"
"E10638","Type 1 diabetes mellitus with other oral complications"
"E13620","Other specified diabetes mellitus with diabetic dermatitis"
"E13630","Other specified diabetes mellitus with periodontal disease"
"E1063","Type 1 diabetes mellitus with oral complications"
"E1165","Type 2 diabetes mellitus with hyperglycemia"
"E1164","Type 2 diabetes mellitus with hypoglycemia"
"E1162","Type 2 diabetes mellitus with skin complications"
"E1062","Type 1 diabetes mellitus with skin complications"
"E1161","Type 2 diabetes mellitus with diabetic arthropathy"
"E1101","Type 2 diabetes mellitus with hyperosmolarity with coma"
"E1163","Type 2 diabetes mellitus with oral complications"
"E10641","Type 1 diabetes mellitus with hypoglycemia with coma"
"E1361","Other specified diabetes mellitus with diabetic arthropathy"
"E10630","Type 1 diabetes mellitus with periodontal disease"
"E1011","Type 1 diabetes mellitus with ketoacidosis with coma"
"E119","Type 2 diabetes mellitus without complications"
"E1100","Type 2 diab w hyprosm w/o nonket hyprgly-hypros coma (NKHHC)"
"E146",
"E136","Oth diabetes mellitus with other specified complications"
"E11620","Type 2 diabetes mellitus with diabetic dermatitis"
"E121",
"E13618","Oth diabetes mellitus with other diabetic arthropathy"
"E1065","Type 1 diabetes mellitus with hyperglycemia"
"E120",
"E118","Type 2 diabetes mellitus with unspecified complications"
"E1061","Type 1 diabetes mellitus with diabetic arthropathy"
"E13641","Oth diabetes mellitus with hypoglycemia with coma"
"E13628","Oth diabetes mellitus with other skin complications"
"E111",
"E1310","Oth diabetes mellitus with ketoacidosis without coma"
"E148",
"E13610","Oth diabetes mellitus with diabetic neuropathic arthropathy"
"E10620","Type 1 diabetes mellitus with diabetic dermatitis"
"E1069","Type 1 diabetes mellitus with other specified complication"
"E139","Other specified diabetes mellitus without complications"
"E109","Type 1 diabetes mellitus without complications"
"E1169","Type 2 diabetes mellitus with other specified complication"
"E10610","Type 1 diabetes mellitus w diabetic neuropathic arthropathy"
"E1010","Type 1 diabetes mellitus with ketoacidosis without coma"
"E101","Type 1 diabetes mellitus with ketoacidosis"
"E11618","Type 2 diabetes mellitus with other diabetic arthropathy"
"E11638","Type 2 diabetes mellitus with other oral complications"
"E11641","Type 2 diabetes mellitus with hypoglycemia with coma"
"E10649","Type 1 diabetes mellitus with hypoglycemia without coma"
"E11630","Type 2 diabetes mellitus with periodontal disease"
"E11628","Type 2 diabetes mellitus with other skin complications"
"E110","Type 2 diabetes mellitus with hyperosmolarity"
"E1364","Other specified diabetes mellitus with hypoglycemia"
"E106","Type 1 diabetes mellitus with other specified complications"
"E1363","Other specified diabetes mellitus with oral complications"
"E140",
"E131","Other specified diabetes mellitus with ketoacidosis"
"E13622","Other specified diabetes mellitus with other skin ulcer"
"E141",
"E1300","Oth diab w hyprosm w/o nonket hyprgly-hypros coma (NKHHC)"
"E11622","Type 2 diabetes mellitus with other skin ulcer"
"E129",
"E1369","Oth diabetes mellitus with other specified complication"
"E13638","Oth diabetes mellitus with other oral complications"
"E11649","Type 2 diabetes mellitus with hypoglycemia without coma"
"E126",
"E1362","Other specified diabetes mellitus with skin complications"
"E11621","Type 2 diabetes mellitus with foot ulcer"
"E10618","Type 1 diabetes mellitus with other diabetic arthropathy"
"E11610","Type 2 diabetes mellitus w diabetic neuropathic arthropathy"
"E1301","Oth diabetes mellitus with hyperosmolarity with coma"
"E1064","Type 1 diabetes mellitus with hypoglycemia"
"E10622","Type 1 diabetes mellitus with other skin ulcer"
